record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,G_rho,model_json,model_curve,selection_mode,reason
Ge_Ge_Nunley,Ge,Ge,Nunley,True,4.0,CP,CP,CP_M4,CP_M4_A,0.0288660130304652,0.7748176297557666,1.000000000000001,data/models/Ge_Ge_Nunley/CP_M4_A.json,data/model_curves/Ge_Ge_Nunley/CP_M4_A.json,lowest_RMS_no_primary_target,
HfO2_HfO2_Bright,HfO2,HfO2,Bright,True,1.0,CP,CP,CP_M1,CP_M1_A,0.0011232299528859,0.0045424608357907,1.0000000046818605,data/models/HfO2_HfO2_Bright/CP_M1_A.json,data/model_curves/HfO2_HfO2_Bright/CP_M1_A.json,smallest_N_meeting_primary_target_0.005,
HfO2_HfO2_Franta,HfO2,HfO2,Franta,True,1.0,SCP,CP,CP_M1,CP_M1_B,0.0004895042875238,0.0021452592302146,1.0000000459887088,data/models/HfO2_HfO2_Franta/CP_M1_B.json,data/model_curves/HfO2_HfO2_Franta/CP_M1_B.json,smallest_N_meeting_primary_target_0.005,
HfO2_HfO2_Siefke,HfO2,HfO2,Siefke,True,1.0,SCP,CP,CP_M1,CP_M1_B,0.0014551231055014,0.0056681024389602,1.0,data/models/HfO2_HfO2_Siefke/CP_M1_B.json,data/model_curves/HfO2_HfO2_Siefke/CP_M1_B.json,smallest_N_meeting_primary_target_0.005,
InAs_InAs_Adachi,InAs,InAs,Adachi,True,2.0,CP,CP,CP_M2,CP_M2_A,0.1605197917635572,3.290009861070493,1.0000000000000002,data/models/InAs_InAs_Adachi/CP_M2_A.json,data/model_curves/InAs_InAs_Adachi/CP_M2_A.json,lowest_RMS_no_primary_target,
InAs_InAs_Aspnes,InAs,InAs,Aspnes,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.0064214010150871,0.1172912223869127,1.0000000000000002,data/models/InAs_InAs_Aspnes/CP_M4_B.json,data/model_curves/InAs_InAs_Aspnes/CP_M4_B.json,lowest_RMS_no_primary_target,
InP_InP_Adachi,InP,InP,Adachi,True,5.0,CP,CP,CP_M5,CP_M5_A,0.0870001151258846,1.458679645348184,1.000000000000001,data/models/InP_InP_Adachi/CP_M5_A.json,data/model_curves/InP_InP_Adachi/CP_M5_A.json,lowest_RMS_no_primary_target,
InP_InP_Aspnes,InP,InP,Aspnes,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.0061906075472615,0.0918974621327439,1.0000000000000002,data/models/InP_InP_Aspnes/CP_M4_B.json,data/model_curves/InP_InP_Aspnes/CP_M4_B.json,lowest_RMS_no_primary_target,
InSb_InSb_Adachi,InSb,InSb,Adachi,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0996127831104885,2.281410170156261,1.0,data/models/InSb_InSb_Adachi/CP_M3_B.json,data/model_curves/InSb_InSb_Adachi/CP_M3_B.json,lowest_RMS_no_primary_target,
InSb_InSb_Aspnes,InSb,InSb,Aspnes,True,5.0,RP,RP,RP_M5,RP_M5,0.0148983203770109,0.2978142928318642,1.000000000000001,data/models/InSb_InSb_Aspnes/RP_M5.json,data/model_curves/InSb_InSb_Aspnes/RP_M5.json,lowest_RMS_no_primary_target,
InSb_InSb_Djurisic,InSb,InSb,Djurisic,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.0187009859824744,0.3502604647140574,1.0000000000000218,data/models/InSb_InSb_Djurisic/CP_M4_B.json,data/model_curves/InSb_InSb_Djurisic/CP_M4_B.json,lowest_RMS_no_primary_target,
