record_key,material,material_class,book,page,N,selected_family,selected_specific_model,selected_epsilon_rms,selected_abs_rms,selected_G_rho,quality_label,selected_model_json
Al2O3_Al2O3_Querry-e,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-e,5,CP,SemiCP,0.0037929213735695,0.0113967943340472,1.0000000000000002,excellent,data/models/Al2O3_Al2O3_Querry-e/SemiCP_M5.json
Al2O3_Al2O3_Querry-o,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-o,1,CP,CP,0.0131963447752196,0.0406229089863376,1.0,warning,data/models/Al2O3_Al2O3_Querry-o/CP_M1.json
Al2O3_Al2O3_Querry-o,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-o,2,CP,SemiCP,0.0035127389482023,0.0108193286639542,1.000000000000001,excellent,data/models/Al2O3_Al2O3_Querry-o/SemiCP_M2.json
Al2O3_Al2O3_Querry-o,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-o,3,CP,SemiCP,0.0015668962335811,0.0048411324257976,1.000000000000001,excellent,data/models/Al2O3_Al2O3_Querry-o/SemiCP_M3.json
Al2O3_Al2O3_Querry-o,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-o,4,CP,SemiCP,0.001255798753382,0.0038870767242042,1.0000000000000002,excellent,data/models/Al2O3_Al2O3_Querry-o/SemiCP_M4.json
Al2O3_Al2O3_Querry-o,Al2O3,transparent_dielectric_oxide,Al2O3,Querry-o,5,CP,SemiCP,0.0024600562982843,0.0076053072915687,1.0000000000000056,excellent,data/models/Al2O3_Al2O3_Querry-o/SemiCP_M5.json
Al2O3_Al2O3_Rodriguez_de_Marcos,Al2O3,transparent_dielectric_oxide,Al2O3,Rodriguez de Marcos,1,CP,SemiCP,0.0009541971918973,0.0026395470125526,1.0,excellent,data/models/Al2O3_Al2O3_Rodriguez_de_Marcos/SemiCP_M1.json
Al2O3_Al2O3_Rodriguez_de_Marcos,Al2O3,transparent_dielectric_oxide,Al2O3,Rodriguez de Marcos,2,CP,SemiCP,4.827107294775935e-06,1.38238710892332e-05,1.0,excellent,data/models/Al2O3_Al2O3_Rodriguez_de_Marcos/SemiCP_M2.json
Al2O3_Al2O3_Rodriguez_de_Marcos,Al2O3,transparent_dielectric_oxide,Al2O3,Rodriguez de Marcos,3,CP,SemiCP,9.036898748322584e-07,2.5627883576997774e-06,1.0000000000000002,excellent,data/models/Al2O3_Al2O3_Rodriguez_de_Marcos/SemiCP_M3.json
Al2O3_Al2O3_Rodriguez_de_Marcos,Al2O3,transparent_dielectric_oxide,Al2O3,Rodriguez de Marcos,4,CP,SemiCP,7.358978213601562e-07,2.082574589523958e-06,1.000000000000001,excellent,data/models/Al2O3_Al2O3_Rodriguez_de_Marcos/SemiCP_M4.json
Al2O3_Al2O3_Rodriguez_de_Marcos,Al2O3,transparent_dielectric_oxide,Al2O3,Rodriguez de Marcos,5,CP,SemiCP,1.0684163020487271e-06,3.041691332531329e-06,1.0000000000000004,excellent,data/models/Al2O3_Al2O3_Rodriguez_de_Marcos/SemiCP_M5.json
Al2O3_Al2O3_Zhukovsky,Al2O3,transparent_dielectric_oxide,Al2O3,Zhukovsky,1,CP,SemiCP,1.9431042932392536e-05,5.180385311919448e-05,1.0,excellent,data/models/Al2O3_Al2O3_Zhukovsky/SemiCP_M1.json
